,GEOIDFQ,median_household_income,owner_occupied_units,renter_occupied_units,median_home_value,state,county,TRACTCE,year,owner_renter_ratio
142,1400000US48029191701,124583,1569,36,351900.0,48,029,191701,2012,43.583333333333336
143,1400000US48029191806,129359,6994,1439,383000.0,48,029,191806,2012,4.860319666435024
144,1400000US48029191807,115417,2749,1020,649000.0,48,029,191807,2012,2.6950980392156865
145,1400000US48029191808,109468,3006,585,307600.0,48,029,191808,2012,5.138461538461539
146,1400000US48029191809,103542,4862,814,282800.0,48,029,191809,2012,5.972972972972973
147,1400000US48029191810,80083,2923,2327,211600.0,48,029,191810,2012,1.2561237645036527
148,1400000US48029191811,120093,3404,379,347800.0,48,029,191811,2012,8.981530343007915
149,1400000US48029191702,76296,4737,2442,249900.0,48,029,191702,2012,1.9398034398034398
150,1400000US48029191812,185867,4475,43,374800.0,48,029,191812,2012,104.06976744186046
151,1400000US48029191813,105557,5322,1117,206300.0,48,029,191813,2012,4.764547896150403
152,1400000US48029191814,106167,3596,487,230900.0,48,029,191814,2012,7.383983572895278
153,1400000US48029191815,112250,4518,1058,265300.0,48,029,191815,2012,4.270321361058601
154,1400000US48029191816,66427,1531,880,345900.0,48,029,191816,2012,1.7397727272727272
155,1400000US48029191817,75608,7367,2895,243500.0,48,029,191817,2012,2.5447322970639035
156,1400000US48029191900,25531,2377,2266,70400.0,48,029,191900,2012,1.0489849955869373
157,1400000US48029192000,30988,1005,2929,234300.0,48,029,192000,2012,0.3431205189484466
158,1400000US48029192100,52045,1231,905,209600.0,48,029,192100,2012,1.3602209944751382
159,1400000US48029192200,34423,411,1019,176100.0,48,029,192200,2012,0.40333660451422965
160,1400000US48029192300,64130,2870,1565,291300.0,48,029,192300,2012,1.8338658146964857
161,1400000US48029980001,-666666666,0,0,,48,029,980001,2012,
162,1400000US48029980002,-666666666,0,0,,48,029,980002,2012,
163,1400000US48029980003,44786,160,921,123100.0,48,029,980003,2012,0.1737242128121607
164,1400000US48029980004,-666666666,0,0,,48,029,980004,2012,
165,1400000US48029980005,-666666666,0,0,,48,029,980005,2012,
166,1400000US48029121701,55224,2801,1229,130100.0,48,029,121701,2012,2.2790886899918634
167,1400000US48029121119,57917,3382,1872,139400.0,48,029,121119,2012,1.8066239316239316
168,1400000US48029121120,55625,3107,2429,122900.0,48,029,121120,2012,1.2791272128447921
169,1400000US48029121121,92308,2719,144,183100.0,48,029,121121,2012,18.881944444444443
170,1400000US48029980100,-666666666,0,16,,48,029,980100,2012,0.0
