,NAME,B19013_001E,state,place,year
326,"Goodlow city, Texas",25500,48,30188,2013
327,"Miles city, Texas",45357,48,48396,2013
328,"Winters city, Texas",38092,48,79876,2013
329,"Tenaha town, Texas",22500,48,72188,2013
330,"Linden city, Texas",25000,48,42844,2013
331,"Lefors town, Texas",40598,48,42148,2013
332,"Meridian city, Texas",38438,48,47760,2013
333,"Forney city, Texas",77121,48,26604,2013
334,"Oak Ridge town (Kaufman County), Texas",65313,48,53160,2013
335,"Rosser village, Texas",41458,48,63404,2013
336,"China city, Texas",45129,48,14704,2013
337,"Palmview city, Texas",39327,48,54804,2013
338,"Progreso city, Texas",29750,48,59636,2013
339,"South Alamo CDP, Texas",28594,48,68846,2013
340,"Marble Falls city, Texas",34240,48,46584,2013
341,"Ravenna city, Texas",56875,48,60752,2013
342,"Orange city, Texas",44467,48,54132,2013
343,"Fort Hood CDP, Texas",41598,48,26736,2013
344,"Tahoka city, Texas",44886,48,71708,2013
345,"Wilson city, Texas",37083,48,79612,2013
346,"Pinehurst city, Texas",33500,48,57608,2013
347,"Mingus city, Texas",18958,48,48720,2013
348,"Marlin city, Texas",26888,48,46740,2013
349,"Graham city, Texas",41419,48,30392,2013
350,"Pharr city, Texas",32087,48,57200,2013
351,"McAllen city, Texas",41163,48,45384,2013
352,"Muniz CDP, Texas",11111,48,50058,2013
353,"Mercedes city, Texas",26388,48,47700,2013
354,"Relampago CDP, Texas",-666666666,48,61532,2013
355,"Lampasas city, Texas",33457,48,41188,2013
356,"Stanton city, Texas",42281,48,70040,2013
357,"Jolly city, Texas",54583,48,37924,2013
358,"Weinert city, Texas",36875,48,77044,2013
359,"Bacliff CDP, Texas",40359,48,05180,2013
360,"Tierra Grande CDP, Texas",46250,48,72952,2013
361,"Buna CDP, Texas",36890,48,11236,2013
362,"Sinton city, Texas",38451,48,68036,2013
363,"Taft city, Texas",36354,48,71684,2013
364,"Breckenridge city, Texas",34877,48,10132,2013
365,"Pecos city, Texas",42375,48,56516,2013
366,"Palmer town, Texas",47411,48,54744,2013
367,"New Home city, Texas",48250,48,51012,2013
368,"Vidor city, Texas",41599,48,75476,2013
369,"Carrizo Springs city, Texas",37448,48,12988,2013
370,"Catarina CDP, Texas",-666666666,48,13324,2013
371,"Godley city, Texas",43750,48,29972,2013
372,"Niederwald city, Texas",47250,48,51492,2013
373,"Westworth Village city, Texas",48036,48,78076,2013
374,"Aurora city, Texas",57841,48,04672,2013
375,"Scurry town, Texas",51786,48,66368,2013
376,"Roscoe city, Texas",39375,48,63176,2013
377,"Hermleigh CDP, Texas",45066,48,33356,2013
378,"Alvarado city, Texas",42537,48,02260,2013
379,"Burleson city, Texas",67701,48,11428,2013
380,"Eidson Road CDP, Texas",30534,48,22810,2013
381,"El Indio CDP, Texas",19506,48,23080,2013
382,"Kerens city, Texas",30393,48,38992,2013
383,"Snyder city, Texas",44105,48,68624,2013
384,"Crowley city, Texas",63224,48,17960,2013
385,"Joshua city, Texas",54964,48,38080,2013
386,"Robert Lee city, Texas",29350,48,62564,2013
387,"Bay City city, Texas",40250,48,05984,2013
388,"Mildred town, Texas",49787,48,48372,2013
389,"Clarksville city, Texas",18715,48,15160,2013
390,"Detroit town, Texas",26591,48,20128,2013
391,"Heath city, Texas",133819,48,32984,2013
392,"Albany city, Texas",52500,48,01648,2013
393,"Barstow city, Texas",26500,48,05720,2013
394,"Nazareth city, Texas",65000,48,50496,2013
395,"Milford town, Texas",32333,48,48408,2013
396,"Balmorhea city, Texas",33250,48,05468,2013
397,"Texhoma city, Texas",51375,48,72464,2013
398,"Trinity city, Texas",36146,48,73664,2013
399,"Burkburnett city, Texas",49625,48,11368,2013
400,"Portland city, Texas",65046,48,58904,2013
401,"Lincoln Park town, Texas",45000,48,42808,2013
402,"Gladewater city, Texas",39692,48,29660,2013
403,"Warren City city, Texas",60625,48,76576,2013
404,"La Paloma-Lost Creek CDP, Texas",43906,48,41422,2013
405,"Sandy Hollow-Escondidas CDP, Texas",50742,48,65342,2013
406,"Arroyo Colorado Estates CDP, Texas",23545,48,04174,2013
407,"Caney City town, Texas",41875,48,12472,2013
408,"Chandler city, Texas",58043,48,14224,2013
409,"Girard CDP, Texas",34318,48,29612,2013
410,"Jayton city, Texas",43333,48,37468,2013
411,"Midway city, Texas",62917,48,48180,2013
412,"Toco city, Texas",25833,48,73196,2013
413,"George West city, Texas",42882,48,29348,2013
414,"Edna city, Texas",39527,48,22720,2013
415,"Ganado city, Texas",46447,48,28080,2013
416,"Lake Bridgeport city, Texas",46250,48,40450,2013
417,"New Fairview city, Texas",54135,48,50920,2013
418,"Balch Springs city, Texas",38374,48,05372,2013
419,"Cockrell Hill city, Texas",34318,48,15796,2013
420,"Combine city, Texas",68438,48,16216,2013
421,"Rowlett city, Texas",83368,48,63572,2013
422,"LaCoste city, Texas",42344,48,40108,2013
423,"Friona city, Texas",46250,48,27660,2013
424,"Texline town, Texas",40000,48,72476,2013
425,"Borger city, Texas",40904,48,09556,2013
426,"Lorenzo city, Texas",36042,48,44032,2013
427,"Round Mountain town, Texas",51667,48,63476,2013
428,"Boyd town, Texas",45500,48,09748,2013
429,"Addison town, Texas",60096,48,01240,2013
430,"Hutchins city, Texas",35213,48,35612,2013
431,"Irving city, Texas",50778,48,37000,2013
432,"Lancaster city, Texas",51131,48,41212,2013
433,"Seagoville city, Texas",42700,48,66428,2013
434,"Menard city, Texas",29861,48,47628,2013
435,"Point Comfort city, Texas",54659,48,58568,2013
436,"Lyford city, Texas",23571,48,45228,2013
437,"Ranchette Estates CDP, Texas",-666666666,48,60458,2013
438,"Mission Bend CDP, Texas",59096,48,48772,2013
439,"Missouri City city, Texas",83524,48,48804,2013
440,"Nassau Bay city, Texas",72976,48,50376,2013
441,"Agua Dulce city, Texas",61250,48,01396,2013
442,"Bishop city, Texas",46481,48,08392,2013
443,"Sadler city, Texas",36667,48,64088,2013
444,"Daisetta city, Texas",47500,48,18476,2013
445,"Dayton Lakes city, Texas",12500,48,19435,2013
446,"Devers city, Texas",44125,48,20140,2013
447,"Sherman city, Texas",41296,48,67496,2013
448,"Buffalo Springs village, Texas",36500,48,11155,2013
449,"Josephine city, Texas",78958,48,38068,2013
450,"Melissa city, Texas",90556,48,47496,2013
451,"Plano city, Texas",82484,48,58016,2013
452,"Sweetwater city, Texas",33509,48,71540,2013
453,"Morgan's Point Resort city, Texas",59227,48,49392,2013
454,"Rogers town, Texas",42868,48,62924,2013
455,"Keene city, Texas",37257,48,38548,2013
456,"Rio Vista city, Texas",51667,48,62240,2013
457,"Quemado CDP, Texas",41500,48,60092,2013
458,"Blooming Grove town, Texas",47902,48,08788,2013
459,"Mustang town, Texas",67813,48,50184,2013
460,"Mobile City city, Texas",27656,48,48858,2013
461,"Sabinal city, Texas",30313,48,64004,2013
462,"Beeville city, Texas",37989,48,07192,2013
463,"Normanna CDP, Texas",50833,48,51852,2013
464,"Pawnee CDP, Texas",32045,48,56252,2013
465,"Fulton town, Texas",40948,48,27888,2013
466,"Bixby CDP, Texas",32188,48,08410,2013
467,"Lasana CDP, Texas",-666666666,48,41542,2013
468,"Diboll city, Texas",43171,48,20308,2013
469,"Highland Village city, Texas",129688,48,33848,2013
470,"Justin city, Texas",79881,48,38332,2013
471,"Krum city, Texas",77132,48,39928,2013
472,"Lake Dallas city, Texas",67701,48,40516,2013
473,"Oak Point city, Texas",90926,48,53130,2013
474,"Ponder town, Texas",77105,48,58664,2013
475,"Hardin city, Texas",43286,48,32240,2013
476,"Pottsboro town, Texas",53906,48,59132,2013
477,"Fairview town, Texas",76552,48,25224,2013
478,"Frisco city, Texas",108284,48,27684,2013
479,"Holland town, Texas",38571,48,34508,2013
480,"Brundage CDP, Texas",-666666666,48,10852,2013
481,"Hart city, Texas",40583,48,32576,2013
482,"Bridge City city, Texas",65444,48,10252,2013
483,"Thorntonville town, Texas",50000,48,72800,2013
484,"Alma town, Texas",45000,48,02044,2013
485,"Marshall city, Texas",32565,48,46776,2013
486,"Uncertain city, Texas",33750,48,74240,2013
487,"Navasota city, Texas",38000,48,50472,2013
488,"Cottonwood city, Texas",68750,48,17200,2013
489,"Petronilla city, Texas",51731,48,57056,2013
490,"Shepherd city, Texas",29840,48,67424,2013
491,"De Kalb city, Texas",33060,48,19648,2013
492,"Maud city, Texas",35769,48,47088,2013
493,"Port Aransas city, Texas",42127,48,58808,2013
494,"Rancho Banquete CDP, Texas",50398,48,60529,2013
495,"Three Rivers city, Texas",41125,48,72872,2013
496,"Roman Forest town, Texas",88066,48,63044,2013
497,"Shenandoah city, Texas",63750,48,67400,2013
498,"Pampa city, Texas",43259,48,54912,2013
499,"Wilmer city, Texas",38988,48,79576,2013
500,"Butterfield CDP, Texas",18799,48,11626,2013
501,"Angleton city, Texas",52600,48,03264,2013
502,"Alice Acres CDP, Texas",13409,48,01858,2013
503,"Roxton city, Texas",28542,48,63584,2013
504,"Duncanville city, Texas",56818,48,21628,2013
505,"Wylie city, Texas",80632,48,80356,2013
506,"La Porte city, Texas",66779,48,41440,2013
507,"Taylor Lake Village city, Texas",137381,48,71960,2013
508,"West Sharyland CDP, Texas",23139,48,77866,2013
509,"Savoy city, Texas",30515,48,66008,2013
510,"El Paso city, Texas",41406,48,24000,2013
511,"San Felipe town, Texas",50417,48,65372,2013
512,"Needville city, Texas",52616,48,50628,2013
513,"Horizon City city, Texas",49926,48,34832,2013
514,"Lake Worth city, Texas",46913,48,41056,2013
515,"Webster city, Texas",46987,48,76948,2013
516,"Houston city, Texas",45010,48,35000,2013
517,"San Marcos city, Texas",27443,48,65600,2013
518,"Vernon city, Texas",38434,48,75308,2013
519,"Lucas city, Texas",118239,48,45012,2013
520,"Fair Oaks Ranch city, Texas",133828,48,25168,2013
521,"Fayetteville city, Texas",39000,48,25644,2013
522,"Channing city, Texas",39896,48,14260,2013
523,"Tye city, Texas",31635,48,74132,2013
524,"Goodrich city, Texas",43125,48,30224,2013
525,"Bellevue city, Texas",41250,48,07396,2013
526,"Dumas city, Texas",52419,48,21556,2013
527,"Cove city, Texas",62019,48,17336,2013
528,"Ropesville city, Texas",40179,48,63140,2013
529,"Camp Swift CDP, Texas",38231,48,12334,2013
530,"Friendswood city, Texas",99365,48,27648,2013
531,"Kingsland CDP, Texas",33864,48,39304,2013
532,"Talco city, Texas",33068,48,71732,2013
533,"Pecan Hill city, Texas",53309,48,56485,2013
534,"Lindsay CDP, Texas",45893,48,42874,2013
535,"Archer City city, Texas",41938,48,03696,2013
536,"Abbott city, Texas",57500,48,00100,2013
537,"Arcola city, Texas",36964,48,03708,2013
538,"Four Corners CDP, Texas",64844,48,27102,2013
539,"Sienna Plantation CDP, Texas",128913,48,67766,2013
540,"Sugar Land city, Texas",104702,48,70808,2013
541,"Thompsons town, Texas",47500,48,72740,2013
542,"Anahuac city, Texas",54667,48,03144,2013
543,"Sunrise Beach Village city, Texas",61411,48,71228,2013
544,"Orange Grove city, Texas",58711,48,54168,2013
